date,wordcount,chapter,work
2018-02-16,4989,13 – 46,The Gods Are Bastards
2018-02-19,4698,13 – 47,The Gods Are Bastards
2018-02-23,6430,13 – 48,The Gods Are Bastards
2018-02-26,5544,13 – 49,The Gods Are Bastards
2018-02-28,5152,13 – 50,The Gods Are Bastards
2018-03-02,4824,13 – 51,The Gods Are Bastards
2018-03-05,5002,13 – 52,The Gods Are Bastards
2018-03-07,4719,13 – 53,The Gods Are Bastards
2018-03-12,4403,Epilogue – Vol. 4,The Gods Are Bastards
2018-03-18,665,Site Announcement,The Gods Are Bastards
2018-04-02,6336,"Bonus #22: Toujours, part 1",The Gods Are Bastards
2018-04-04,5208,"Bonus #23: Toujours, part 2",The Gods Are Bastards
2018-04-06,5654,"Bonus #24: Scion, part 1",The Gods Are Bastards
2018-04-09,5220,"Bonus #25: Scion, part 2",The Gods Are Bastards
2018-04-15,3576,"Bonus #26: Scion, part 3",The Gods Are Bastards
2018-04-15,5685,"Bonus #27: Scion, part 4",The Gods Are Bastards
2018-04-16,4279,Prologue – Volume 5,The Gods Are Bastards
2018-04-20,4475,14 – 1,The Gods Are Bastards
2018-04-23,6094,14 – 2,The Gods Are Bastards
2018-04-30,6168,14 – 3,The Gods Are Bastards
2018-05-04,6137,14 – 4,The Gods Are Bastards
2018-05-07,5527,14 – 5,The Gods Are Bastards
2018-05-11,5332,14 – 6,The Gods Are Bastards
2018-05-14,5010,14 – 7,The Gods Are Bastards
2018-05-18,4545,14 – 8,The Gods Are Bastards
2018-05-21,5337,14 – 9,The Gods Are Bastards
2018-05-24,5878,14 – 10,The Gods Are Bastards
2018-05-28,6343,14 – 11,The Gods Are Bastards
2018-06-01,4469,14 – 12,The Gods Are Bastards
2018-06-04,5341,14 – 13,The Gods Are Bastards
2018-06-08,5832,14 – 14,The Gods Are Bastards
2018-06-11,4870,14 – 15,The Gods Are Bastards
2018-06-13,6051,14 – 16,The Gods Are Bastards
2018-06-18,5695,14 – 17,The Gods Are Bastards
2018-06-20,4195,14 – 18,The Gods Are Bastards
2018-06-22,5516,14 – 19,The Gods Are Bastards
2018-06-25,3930,14 – 20,The Gods Are Bastards
2018-06-27,4546,14 – 21,The Gods Are Bastards
2018-07-02,5604,14 – 22,The Gods Are Bastards
2018-07-04,5213,14 – 23,The Gods Are Bastards
2018-07-06,5106,14 – 24,The Gods Are Bastards
2018-07-09,178,Pausing to move,The Gods Are Bastards
2018-07-16,4327,14 – 25,The Gods Are Bastards
2018-07-18,3213,14 – 26,The Gods Are Bastards
2018-07-20,3228,14 -27,The Gods Are Bastards
2018-07-23,4916,14 – 28,The Gods Are Bastards
2018-07-25,6160,14 – 29,The Gods Are Bastards
