date,wordcount,chapter,work
2020-08-10,9539,Interlude – Sand and Notes,The Wandering Inn
2020-08-11,11835,7.40 ER,The Wandering Inn
2020-08-12,6805,Interlude – Food and Growth,The Wandering Inn
2020-08-13,14886,7.41,The Wandering Inn
2020-08-14,9222,7.42 M,The Wandering Inn
2020-09-02,22264,7.43 G,The Wandering Inn
2020-09-06,19538,7.44,The Wandering Inn
2020-09-09,27507,7.45,The Wandering Inn
2020-09-13,29862,7.46 K,The Wandering Inn
2020-09-16,24058,7.47 K,The Wandering Inn
2020-09-20,19814,7.48 K,The Wandering Inn
2020-09-23,19561,7.49,The Wandering Inn
2020-10-04,31450,Interlude – Experiments in Golems,The Wandering Inn
2020-10-07,29080,7.50,The Wandering Inn
2020-10-11,28512,7.51,The Wandering Inn
2020-10-14,28979,7.52,The Wandering Inn
2020-10-18,26740,7.53,The Wandering Inn
2020-10-20,26037,7.54,The Wandering Inn
2020-10-25,25968,7.55 E,The Wandering Inn
2020-11-04,33664,Interlude – Saliss the Adventurer,The Wandering Inn
2020-11-08,29490,7.56,The Wandering Inn
2020-11-11,27414,7.57,The Wandering Inn
2020-11-15,28787,7.58,The Wandering Inn
2020-11-18,25789,7.59,The Wandering Inn
2020-11-22,22190,7.60,The Wandering Inn
2020-11-25,16186,Interlude – The Tribes of Izril,The Wandering Inn
2020-12-06,30280,Interlude – The Innkeeper’s [Knight],The Wandering Inn
2020-12-09,14,Protected: 7.61,The Wandering Inn
