date,wordcount,chapter,work,author
2019-12-09,1052,Departure,Chrysalis,RinoZ
2019-12-12,968,Gate to the Second Strata,Chrysalis,RinoZ
2019-12-14,1169,Breaking through to the other side,Chrysalis,RinoZ
2019-12-16,1141,World of Shadow,Chrysalis,RinoZ
2019-12-17,1152,Goals and responsibilities,Chrysalis,RinoZ
2019-12-19,1385,Wrong Legged,Chrysalis,RinoZ
2019-12-20,1252,Tunnels of shadow,Chrysalis,RinoZ
2019-12-21,1185,Stupid Ape,Chrysalis,RinoZ
2019-12-22,1209,The Wizards' favourite,Chrysalis,RinoZ
2019-12-24,1259,The Monsters Come,Chrysalis,RinoZ
2019-12-27,1372,Dust to Dust,Chrysalis,RinoZ
2019-12-29,1178,The Deep,Chrysalis,RinoZ
2019-12-30,1269,Wide open spaces,Chrysalis,RinoZ
2020-01-01,1048,Reunion,Chrysalis,RinoZ
2020-01-02,1361,Reunion Part 2,Chrysalis,RinoZ
2020-01-03,1327,Light the way,Chrysalis,RinoZ
2020-01-05,1176,Crustacean sensation,Chrysalis,RinoZ
2020-01-06,1080,Digesting Gains,Chrysalis,RinoZ
2020-01-07,1116,Advancing into the unknown,Chrysalis,RinoZ
2020-01-09,1183,The upper reef,Chrysalis,RinoZ
2020-01-10,1211,Attack from two sides,Chrysalis,RinoZ
2020-01-12,1283,Fishing for levels,Chrysalis,RinoZ
2020-01-14,1202,Devastation,Chrysalis,RinoZ
2020-01-16,1281,Devastation part 2,Chrysalis,RinoZ
2020-01-17,1368,My head hurts,Chrysalis,RinoZ
2020-01-18,1450,Grinding for kicks,Chrysalis,RinoZ
2020-01-20,1274,Fighting in the Shadows,Chrysalis,RinoZ
2020-01-22,1412,"Stone Skin, Fast Feet",Chrysalis,RinoZ
2020-01-23,1384, The hunt is on,Chrysalis,RinoZ
2020-01-25,1375,They're Coming ,Chrysalis,RinoZ
